dataset,condition,mean_auc,std_auc,mean_f1,n_retrains
IEEE-CIS Fraud,Full System,0.5409363907960689,0.0640624455870248,,0
IEEE-CIS Fraud,No Adaptive Retraining,0.5409363907960689,0.0640624455870248,,0
IEEE-CIS Fraud,No Drift Detection,0.8849419334353491,0.0865511414026226,,5
IEEE-CIS Fraud,Static Baseline,0.5409363907960689,0.0640624455870248,,0
Give Me Some Credit,Full System,0.5079358014652553,0.016149159602196195,,0
Give Me Some Credit,No Adaptive Retraining,0.5079358014652553,0.016149159602196195,,0
Give Me Some Credit,No Drift Detection,0.5039725858587952,0.011365907411416848,,3
Give Me Some Credit,Static Baseline,0.5079358014652553,0.016149159602196195,,0
ULB CC Fraud,Full System,0.9671444635915895,0.02484227134358585,,0
ULB CC Fraud,No Adaptive Retraining,0.9671444635915895,0.02484227134358585,,0
ULB CC Fraud,No Drift Detection,0.9745565796470712,0.024171193833267986,,5
ULB CC Fraud,Static Baseline,0.9671444635915895,0.02484227134358585,,0
