window_index,roc_auc,f1_at_05,f1_optimal,optimal_threshold,ks_statistic,average_precision,brier_score,n_samples,n_positives
8,0.4999702857142857,0.0,0.12593499252005985,0.049595959595959596,0.029142857142857137,0.06541887778516689,0.06231963641354526,7500,500
9,0.4936484049166928,0.0,0.12311864406779661,0.049595959595959596,0.015226277300148583,0.06646434393252673,0.061275572008102075,7500,491
10,0.49639146640115694,0.0,0.12093840170618492,0.039696969696969696,0.021975501053012436,0.06700708730256266,0.06022694060674897,7500,482
11,0.5031962436898839,0.0,0.12166780587833219,0.049595959595959596,0.02932596571411772,0.06618068538846389,0.060556426909960964,7500,485
12,0.539764301943845,0.0,0.13962888113172883,0.059494949494949496,0.07962753276750323,0.08222213623391386,0.06613137922893689,7500,534
13,0.49862807212742566,0.0,0.12687312687312688,0.01,0.016882060938034904,0.06817849981687399,0.06326148073359956,7500,508
14,0.4873428610957715,0.0,0.12077173640691556,0.01,0.009660990292892357,0.06171534761184216,0.060276221385641975,7500,482
15,0.500417513733168,0.0,0.1237785016286645,0.049595959595959596,0.02786795817581461,0.07052375498093483,0.06160020233181533,7500,494
16,0.5353160094688408,0.0,0.12937511453179404,0.059494949494949496,0.0711170749980928,0.07437675218894185,0.062428797581521506,7500,502
17,0.5029675910855567,0.0,0.12073293172690763,0.039696969696969696,0.021285261063007183,0.06542466272344143,0.06009600618123454,7500,481
18,0.500797622124155,0.0,0.1305,0.039696969696969696,0.027968706794326392,0.06941536206367785,0.0650030426547914,7500,523
19,0.5172980994009968,0.0,0.1345764085934333,0.049595959595959596,0.039827998833818046,0.07532475080226501,0.06669236818832343,7500,538
