window_index,mean_psi,max_psi,n_features_flagged,alert,psi_TransactionAmt,psi_card1,psi_card2,psi_card3,psi_card5,psi_addr1,psi_addr2,psi_dist1,psi_C1,psi_C2,psi_C5,psi_C6,psi_C9,psi_C11,psi_C13,psi_D1,psi_D2,psi_D3,psi_D4,psi_D10
6,0.0246,0.1189,0,0,0.0451,0.0025,0.0118,0.0075,0.0181,0.005,0.0347,0.0025,0.0249,0.028,0.0285,0.021,0.1189,0.014,0.0599,0.048,0.0098,0.0041,0.0043,0.003
7,0.0249,0.103,0,0,0.0458,0.0017,0.0139,0.0022,0.0164,0.0038,0.0397,0.0031,0.0255,0.0341,0.0373,0.0233,0.103,0.0158,0.0618,0.0457,0.0134,0.0038,0.0057,0.0022
8,0.029,0.1119,0,0,0.0434,0.0039,0.0201,0.0011,0.0118,0.0042,0.0448,0.0032,0.0309,0.0467,0.0597,0.0304,0.1119,0.023,0.0655,0.0463,0.0158,0.006,0.0077,0.0026
9,0.0253,0.0915,0,0,0.0368,0.0025,0.0101,0.0005,0.0071,0.0052,0.0446,0.0045,0.0269,0.0467,0.0516,0.0261,0.0915,0.0213,0.0606,0.0415,0.0111,0.0043,0.0095,0.0034
10,0.0238,0.084,0,0,0.0309,0.0009,0.0048,0.0001,0.0324,0.0037,0.0445,0.0043,0.0234,0.0429,0.0375,0.0201,0.084,0.0188,0.0553,0.0382,0.0128,0.0063,0.0096,0.0051
11,0.0311,0.1209,0,0,0.0341,0.0018,0.0107,0.0005,0.0625,0.0034,0.048,0.0012,0.03,0.0496,0.0656,0.0256,0.1209,0.0353,0.0616,0.04,0.0129,0.0019,0.0109,0.0064
12,0.0326,0.2066,0,0,0.0373,0.0048,0.0213,0.0041,0.0801,0.0038,0.0293,0.0033,0.016,0.0288,0.0533,0.0175,0.2066,0.0489,0.036,0.0217,0.0147,0.0048,0.0124,0.0076
13,0.0356,0.2717,1,0,0.0355,0.0049,0.0174,0.0048,0.0718,0.0053,0.011,0.0084,0.0116,0.0241,0.0377,0.0205,0.2717,0.092,0.0311,0.023,0.0149,0.0029,0.0149,0.0086
14,0.0349,0.2297,0,0,0.036,0.0014,0.008,0.0006,0.049,0.0073,0.0029,0.0118,0.0217,0.041,0.0399,0.0265,0.2297,0.0721,0.0528,0.0438,0.0189,0.0061,0.0188,0.0088
15,0.0266,0.1599,0,0,0.0378,0.003,0.0093,0.0138,0.0467,0.0074,0.0013,0.0122,0.0188,0.0401,0.0194,0.0169,0.1599,0.014,0.0428,0.034,0.0206,0.0018,0.0197,0.0122
16,0.0342,0.2056,0,0,0.0362,0.0035,0.0148,0.005,0.0548,0.0052,0.004,0.0115,0.0238,0.0467,0.0353,0.0259,0.2056,0.0201,0.0622,0.0497,0.0279,0.0061,0.0317,0.013
17,0.0496,0.2933,1,0,0.0375,0.0076,0.0205,0.0022,0.0644,0.0041,0.0088,0.0101,0.0344,0.0599,0.0609,0.0392,0.2933,0.0281,0.0997,0.0854,0.0389,0.0078,0.0592,0.029
18,0.0463,0.2588,1,0,0.0381,0.0018,0.0131,0.0019,0.0571,0.0042,0.0083,0.0096,0.0336,0.0609,0.0486,0.0307,0.2588,0.0242,0.0955,0.0912,0.0367,0.0078,0.069,0.034
19,0.0452,0.264,1,0,0.0351,0.0029,0.0151,0.0044,0.0597,0.0035,0.0108,0.0088,0.0322,0.0554,0.0536,0.0289,0.264,0.0218,0.0903,0.0873,0.0364,0.008,0.0552,0.0308
20,0.0501,0.3053,1,0,0.0406,0.0039,0.0197,0.0114,0.0692,0.0027,0.014,0.009,0.0337,0.0529,0.0614,0.0365,0.3053,0.0215,0.1003,0.0885,0.0342,0.0086,0.0528,0.036
21,0.0468,0.286,1,0,0.0374,0.007,0.0207,0.0073,0.059,0.0033,0.0117,0.0088,0.0358,0.0535,0.0538,0.0369,0.286,0.0213,0.094,0.0789,0.0269,0.0066,0.0502,0.037
22,0.0323,0.18,0,0,0.0227,0.0037,0.0105,0.0006,0.0441,0.0046,0.0091,0.0082,0.0305,0.0476,0.0248,0.024,0.18,0.0153,0.0626,0.0558,0.0233,0.0033,0.0458,0.0297
23,0.0385,0.1503,0,0,0.0209,0.0121,0.0219,0.001,0.0614,0.0119,0.0158,0.0073,0.0412,0.0598,0.0139,0.0317,0.1503,0.0182,0.073,0.0716,0.0496,0.0141,0.0514,0.0424
